sample number,sample code,strain,substrate,wet weight,dry weight,strain abbr,substrate abbr,,strain substrate
10,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.5,3.5,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
11,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.9,3.5,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
12,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,8.2,4.3,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
13,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.1,4,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
14,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.3,3.3,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
15,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.2,3.3,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
16,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.9,3.6,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
17,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,8.5,4.3,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
18,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.4,4.3,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
19,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.4,3.4,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
20,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.8,3,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
21,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.7,3.5,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
22,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7,3.3,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
23,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7,3.2,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
24,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7,3.2,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
25,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.6,3,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
26,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.1,3.3,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
27,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.4,3.3,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
28,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.1,3.1,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
29,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6,2.7,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
30,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.8,3,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
31,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.4,3,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
32,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.2,3.5,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
33,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.2,3.2,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
34,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.2,3.3,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
35,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.8,3.6,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
36,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.1,3.3,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
37,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.1,2.8,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
38,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.6,3.1,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
39,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.4,3.4,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
40,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.1,3.4,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
1,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,3.8,1.9,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
2,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,5.1,2.4,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
3,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.3,2.1,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
4,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.7,2.3,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
5,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,3,1.5,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
6,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,5.1,2.4,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
7,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,5.6,2.7,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
8,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.6,2.2,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
9,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.7,2.2,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
10,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,3.9,1.9,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
11,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.1,2,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
12,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.4,2.1,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
13,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.6,2.2,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
14,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,3.4,1.6,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
15,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.7,2.2,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
16,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,3.9,1.9,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
17,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,3.1,1.5,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
18,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,5.3,2.5,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
19,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.9,2.4,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
