sample number,sample code,strain,substrate,wet weight,dry weight,strain substrate
9,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,4.9,2.2,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
10,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.2,2.8,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
11,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,4.5,2.1,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
12,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.7,3,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
13,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.5,3,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
14,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.8,3.1,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
15,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.6,2.9,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
16,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.5,2.9,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
17,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.7,3,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
18,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,5.6,2.5,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
19,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.7,3,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
20,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,5.3,2.4,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
21,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,5.2,2.4,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
1,E_w_2,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.6,6.4,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
2,E_w_2,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.8,6.5,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
3,E_w_2,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.2,5.9,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
4,E_w_2,Ganoderma spp.,hardwood pellets wheat calcium sulfate,7.2,6.9,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
5,E_w_2,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.9,6.6,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
6,E_w_2,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.4,6.2,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
7,E_w_2,Ganoderma spp.,hardwood pellets wheat calcium sulfate,7.4,7.1,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
8,E_w_2,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.6,6.4,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
